127.0.0.1 - - [09/Apr/2022:01:53:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:53:50 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:53:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:55:52 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:55:53 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:56:28 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:56:28 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:01:56:28 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:04:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 5052
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:04:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:04:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:04:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:08 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:08 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:08 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:09 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:09 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:13 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:14 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:14 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:20 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:05:55 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 5085
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:30:20 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32644
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:34:02 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32817
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:34:02 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:35:04 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32885
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:35:05 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:36:12 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32919
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:36:12 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:36:53 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32952
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:36:53 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:37:02 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32953
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:38:31 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 32987
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:38:31 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:39:14 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33021
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:39:14 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:40:52 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33055
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:34 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33089
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:34 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:36 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:36 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:41:37 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:42:51 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33089
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:42:51 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:43:49 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33122
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:43:49 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:44:32 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33156
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:44:32 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:11 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:20 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33190
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:20 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:20 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:35 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33190
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:35 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:45:36 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:30 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33562
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:31 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:33 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:44 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33562
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:44 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:45 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:47:45 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:49:57 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 200 33359
0:0:0:0:0:0:0:1 - - [09/Apr/2022:02:50:17 +0900] "GET /kosMember_YYS/kos_css_p/mbtiBingo.html HTTP/1.1" 304 -
