127.0.0.1 - - [26/Mar/2022:21:32:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:32:12 +0900] "GET /firstWeb/htmlp/html5_practice.html HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:32:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:56:03 +0900] "GET /firstWeb/htmlp/fromGetTestp.html HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:56:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2022:21:59:23 +0900] "GET /firstWeb/htmlp/html5_practice.html HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:00:04 +0900] "GET /firstWeb/htmlp/html5_practice.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:11:43 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:19 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:49 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:50 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:51 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:53 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:53 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:53 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:12:53 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:13:05 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:44 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:49 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:53 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:55 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:55 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:55 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:55 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:16:57 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:17:03 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:17:31 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:30:08 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:33:04 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:39:36 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [26/Mar/2022:22:40:46 +0900] "GET /firstWeb/htmlp/formTest.html HTTP/1.1" 200 1675
